PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
010001,01-OCT-11,30-SEP-12,Amended,214852340,583208908,588487998
010005,01-OCT-11,30-SEP-12,Settled,100256614,116703981,247321176
010006,01-JUL-12,30-JUN-13,Settled,112144787,365885178,274038627
010007,01-OCT-11,30-SEP-12,As Submitted,13789674,18410171,22722528
010008,01-JAN-12,31-DEC-12,Amended,14165764,16601657,12763126
010011,01-JUL-12,30-JUN-13,Amended,180868478,495777203,363829003
010012,01-APR-12,31-MAR-13,Settled,43232721,125727604,179513715
010016,01-JAN-12,31-DEC-12,Settled,134287539,480362975,344130140
010018,01-OCT-11,30-SEP-12,As Submitted,21570128,1240603,82650761
010019,01-OCT-11,30-SEP-12,Settled,73684900,119567057,172328498
010021,01-OCT-11,30-SEP-12,Settled,25535405,26614232,49107601
010022,01-APR-12,31-MAR-13,Settled,11422983,17465288,45452467
010023,01-JUL-12,30-JUN-13,Settled,331487374,647624972,556845360
010024,01-JAN-12,31-DEC-12,Settled,139835042,387621533,235329544
010025,01-JUL-12,30-JUN-13,Settled,36929282,33772201,52401463
010027,01-JUL-12,04-FEB-13,As Submitted,5916048,2661086,3530140
010029,01-OCT-11,30-SEP-12,Settled,210035776,215371587,288265827
010032,01-OCT-11,30-SEP-12,Settled,7662011,7614971,12371500
010033,01-OCT-11,30-SEP-12,As Submitted,959331474,2921258535,1214808128
010034,01-OCT-11,30-SEP-12,As Submitted,17392010,16655807,24557354
010035,01-JUL-12,30-JUN-13,Settled,89693958,152960088,203581457
010036,01-APR-12,31-MAR-13,Settled,26834913,51648712,77867809
010038,01-JUL-12,30-JUN-13,Reopened,49489070,167575630,292453418
010039,01-JUL-12,30-JUN-13,Reopened,649298448,1958541195,1868966095
010040,01-OCT-11,30-SEP-12,Settled,143953371,993313078,709474625
010044,01-OCT-11,30-SEP-12,Reopened,18317197,20849052,31570536
010045,01-OCT-11,30-SEP-12,Settled,23335215,32953413,48581577
010046,01-JUL-12,30-JUN-13,Reopened,88207746,462405147,400921457
010047,01-JAN-12,30-NOV-12,Settled,5949716,4349685,8072823
010049,01-JAN-12,31-DEC-12,Reopened,41918872,115018020,225488348
010050,01-JUL-12,19-JUN-13,Settled,19734870,22189361,72318955
010051,01-OCT-11,30-SEP-12,Settled,9102235,6248812,7435925
010052,01-JAN-12,31-DEC-12,Settled,14679760,5050646,17068412
010054,01-JAN-12,31-DEC-12,Settled,28208907,109093809,167282008
010055,01-JUL-12,30-JUN-13,Settled,162606479,551235145,629442110
010056,01-JUL-12,30-JUN-13,Settled,314522238,652167633,723820741
010058,01-OCT-11,30-SEP-12,Amended,14627271,13278671,9812780
010059,01-OCT-11,30-SEP-12,Settled,16048173,16679433,28182959
010061,01-OCT-11,30-SEP-12,Settled,48605728,42625252,59179057
010062,01-OCT-11,30-SEP-12,Settled,20419470,18240168,16937330
010065,01-JAN-12,31-DEC-12,As Submitted,57656800,45148700,124011508
010066,01-JUL-12,30-JUN-13,Settled,4260550,2104990,2536033
010069,01-OCT-11,30-SEP-12,Settled,14589746,24894303,34021602
010073,01-OCT-11,30-SEP-12,Amended,16106582,14770549,13652265
010078,01-JUL-12,30-JUN-13,Amended,130510352,324606738,306141460
010079,01-JUL-12,30-JUN-13,Reopened,44924897,70870492,115248453
010083,01-OCT-11,30-SEP-12,Reopened,67362849,254626580,327824626
010085,01-JUL-12,31-AUG-12,Settled,15792375,16927510,24526711
010085,01-SEP-12,31-MAR-13,Settled,46607962,74431057,77501508
010086,01-MAY-12,30-APR-13,Settled,22479341,32823528,64294102
010087,01-OCT-11,30-SEP-12,Settled,110895665,169572032,125832498
010089,01-JAN-12,31-DEC-12,Settled,80149366,200186360,198680790
010090,01-JUL-12,30-JUN-13,Settled,187325227,405754168,365090233
010091,01-JUL-12,30-JUN-13,As Submitted,13723423,13935578,29961019
010092,01-OCT-11,30-SEP-12,As Submitted,372241624,1007442911,651867558
010095,01-OCT-11,30-SEP-12,As Submitted,8124548,3272505,10544247
010097,01-JAN-12,31-DEC-12,Settled,12961028,6889106,23365157
010099,01-OCT-11,30-SEP-12,As Submitted,24999889,23625986,50952575
010100,01-APR-12,31-MAR-13,Settled,114737064,203127718,252116602
010101,01-JAN-12,31-DEC-12,Reopened,32141668,54628802,104057247
010102,01-OCT-11,30-SEP-12,Settled,2731002,1067547,5353452
010103,01-JAN-12,31-DEC-12,Settled,180151828,796464527,487526922
010104,01-JUL-12,30-JUN-13,Amended,183771170,874736903,717606717
010108,01-JUL-12,30-JUN-13,Settled,29274822,57701560,109403348
010109,01-OCT-11,30-SEP-12,As Submitted,16500280,14756589,26829695
010110,01-JAN-12,31-DEC-12,Settled w/Audit,11840768,20353645,7640781
010112,01-OCT-11,30-SEP-12,As Submitted,23304018,32396331,25403408
010113,01-APR-12,31-MAR-13,Settled,290109874,745898148,328078606
010114,01-JAN-12,31-DEC-12,Settled,77186436,238845423,194162925
010118,01-JUL-12,30-JUN-13,Settled,52258565,174543150,133892100
010120,01-OCT-11,30-SEP-12,Settled,20672208,14716975,59847471
010125,01-MAY-12,30-APR-13,Settled,15276275,22487199,21500696
010126,01-JAN-12,31-DEC-12,Settled,23125026,29340456,73844671
010128,01-JAN-12,31-DEC-12,Settled,7884717,3962170,18465742
010129,01-APR-12,31-MAR-13,Settled,21208056,18583177,36870287
010130,01-JUL-12,30-JUN-13,Settled,24247160,45440115,113929279
010131,01-JUL-12,30-JUN-13,Settled,136895315,545239567,661865398
010137,01-OCT-11,30-SEP-12,As Submitted,74717194,36023321,61631713
010138,01-JAN-12,31-DEC-12,As Submitted,5192681,5021875,4667242
010139,01-JAN-12,31-DEC-12,Settled,303925814,1857128713,1228605175
010144,01-JAN-12,31-DEC-12,Reopened,128520519,223274931,250306189
010146,01-OCT-11,30-SEP-12,Settled,20227681,41161006,101582070
010148,01-JAN-12,31-DEC-12,Settled,13338007,14794060,18892514
010149,01-JUL-12,30-JUN-13,Settled,95570269,231492409,205254908
010150,01-FEB-12,31-JAN-13,Reopened,20249324,57217264,75057204
010152,01-APR-12,31-OCT-12,Settled,15486247,21466791,30705357
010157,01-APR-12,31-MAR-13,Settled,30909023,69789447,65172538
010158,01-JAN-12,31-DEC-12,Settled,23297688,48990494,44529172
010164,01-AUG-12,31-JUL-13,Settled,48551452,116141313,143913955
010168,01-JAN-12,31-DEC-12,Reopened,42644377,90735129,48272449
010169,01-OCT-11,30-SEP-12,As Submitted,15993207,30605452,53868446
010171,14-MAR-12,30-MAY-12,As Submitted,1807911,657745,2010662
011300,01-OCT-11,30-SEP-12,As Submitted,11165657,7917973,7019551
011302,01-OCT-11,30-SEP-12,Settled,,4528664,11148642
011304,31-MAY-12,31-DEC-12,Settled,,4539740,6699685
012006,01-APR-12,31-MAR-13,Settled,11533598,26549136,89559
012007,01-JUL-12,30-JUN-13,Settled,11170947,31843295,
012008,01-SEP-12,31-AUG-13,Settled,13191487,43287251,
