PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
010001,01-OCT-15,30-SEP-16,As Submitted,248917319,797455884,719901053
010005,01-OCT-15,30-SEP-16,As Submitted,117400193,116809860,301037435
010007,01-OCT-15,30-SEP-16,As Submitted,14348517,17301238,28459816
010016,03-OCT-15,31-DEC-15,As Submitted,33872217,137740875,86772512
010018,01-OCT-15,30-SEP-16,As Submitted,32409047,1192349,123310607
010019,01-OCT-15,30-SEP-16,As Submitted,74509968,128701234,256391887
010021,01-OCT-15,30-SEP-16,As Submitted,25328791,24961009,62698663
010029,01-OCT-15,30-SEP-16,As Submitted,264065276,262583009,423413242
010032,01-OCT-15,30-SEP-16,As Submitted,7677531,4522419,19349235
010033,01-OCT-15,30-SEP-16,As Submitted,1221201056,3623616462,2374644104
010034,01-OCT-15,30-SEP-16,As Submitted,16305686,14967422,25347001
010040,01-OCT-15,30-SEP-16,As Submitted,167545305,1356926878,1004574040
010044,01-OCT-15,30-SEP-16,As Submitted,22117969,21655686,43802488
010045,01-OCT-15,30-SEP-16,As Submitted,24983795,27489230,51390420
010051,01-OCT-15,30-SEP-16,As Submitted,9833616,6770578,6471889
010055,01-OCT-15,30-SEP-16,As Submitted,168616725,711231268,879200155
010058,01-OCT-15,30-SEP-16,As Submitted,17060591,14508481,13268193
010059,01-OCT-15,30-SEP-16,As Submitted,14483771,7650619,31886028
010061,01-OCT-15,30-SEP-16,As Submitted,50666607,50361616,73853329
010062,01-OCT-15,30-SEP-16,As Submitted,20582772,23953615,29664249
010069,01-OCT-15,30-SEP-16,As Submitted,14454974,21577417,40117071
010079,01-JAN-16,30-JUN-16,As Submitted,25453150,40160197,88723694
010083,01-OCT-15,30-SEP-16,As Submitted,80958553,373397558,596186856
010087,01-OCT-15,30-SEP-16,As Submitted,142885092,213768871,176644542
010089,03-OCT-15,31-DEC-15,As Submitted,20736774,46553796,53314622
010092,01-OCT-15,30-SEP-16,As Submitted,434453498,1024165041,906559252
010095,01-OCT-15,30-SEP-16,As Submitted,8437219,3148545,13613037
010099,01-OCT-15,30-SEP-16,As Submitted,26185053,17081741,58357571
010102,01-OCT-15,30-SEP-16,As Submitted,4533214,1158544,7642999
010103,03-OCT-15,31-DEC-15,As Submitted,48818241,219702798,117120261
010109,01-OCT-15,30-SEP-16,As Submitted,13754477,6410802,23868657
010112,01-OCT-15,30-SEP-16,As Submitted,20709373,20826978,36583864
010120,01-OCT-15,30-SEP-16,As Submitted,20835537,12802273,72481791
010146,01-OCT-15,30-SEP-16,As Submitted,15621893,27157235,86832532
010169,01-OCT-15,30-SEP-16,As Submitted,16370049,21114706,54064166
011300,01-OCT-15,30-SEP-16,As Submitted,12007006,9979681,6638991
011302,01-OCT-15,30-SEP-16,As Submitted,,7712983,17438181
013301,01-OCT-15,30-SEP-16,As Submitted,,181961231,50308701
014012,01-OCT-15,30-SEP-16,As Submitted,18171292,18822982,39336
014017,01-OCT-15,30-SEP-16,As Submitted,10148625,3504478,
020027,01-OCT-15,04-NOV-15,As Submitted,4027219,4280,85690
021308,01-OCT-15,30-SEP-16,As Submitted,64863355,26785205,49609601
021309,01-OCT-15,30-SEP-16,As Submitted,,7887,109420
021310,01-OCT-15,30-SEP-16,As Submitted,,15250,183600
021312,01-OCT-15,30-SEP-16,As Submitted,,4352,78386
021314,05-NOV-15,30-SEP-16,As Submitted,,42600,778658
030013,01-OCT-15,30-SEP-16,As Submitted,366001462,704809322,788333045
030083,01-OCT-15,30-SEP-16,As Submitted,85646805,214260913,205056628
030085,01-OCT-15,30-SEP-16,As Submitted,240528709,1026719766,1017830383
030114,01-OCT-15,30-SEP-16,As Submitted,84493551,338740706,366644427
030118,01-JAN-16,31-JUL-16,As Submitted,45467528,74054888,144541348
031308,01-OCT-15,30-SEP-16,As Submitted,,1716,747681
031309,01-OCT-15,30-SEP-16,As Submitted,,5698360,24951601
031311,01-OCT-15,30-SEP-16,As Submitted,,35331911,67840332
031317,01-OCT-15,30-SEP-16,As Submitted,,21053452,46474420
033036,01-JAN-16,31-MAY-16,As Submitted,5542696,10874711,620448
040014,01-OCT-15,30-SEP-16,As Submitted,163666493,275983738,399588651
040019,01-OCT-15,30-SEP-16,As Submitted,23504156,66895599,94030437
040020,01-OCT-15,30-SEP-16,As Submitted,253485196,294909959,355120937
040055,01-OCT-15,30-SEP-16,As Submitted,222714064,766088380,846316477
