PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
010001,01-OCT-14,30-SEP-15,Amended,241468897,666889868,750715642
010005,01-OCT-14,30-SEP-15,Amended,111571235,123515521,276519792
010006,01-JUL-15,30-JUN-16,As Submitted,120783937,434107787,355805265
010007,01-OCT-14,30-SEP-15,As Submitted,14623213,20133471,28904660
010008,01-JAN-15,31-DEC-15,As Submitted,9177870,13714097,16992042
010011,01-JUL-15,30-JUN-16,As Submitted,196817667,591366927,521602384
010012,01-APR-15,31-MAR-16,As Submitted,43492088,125189416,234912525
010016,01-JAN-15,02-OCT-15,As Submitted,123181197,405019995,286134036
010018,01-OCT-14,30-SEP-15,As Submitted,28395256,1338885,117372210
010019,01-OCT-14,31-DEC-14,As Submitted,21157748,32707444,64109581
010019,01-JAN-15,30-SEP-15,As Submitted,55580642,111830555,190380399
010021,01-OCT-14,30-SEP-15,Amended,25428981,28640150,62250618
010022,01-APR-15,31-MAR-16,As Submitted,12062669,17639005,59728431
010023,01-JUL-15,30-JUN-16,As Submitted,361093517,721696433,634230398
010024,01-JAN-15,31-DEC-15,As Submitted,150791362,495117625,336975704
010029,01-OCT-14,30-SEP-15,As Submitted,261939193,261308389,389707826
010032,01-OCT-14,30-SEP-15,As Submitted,6988555,6195535,16747648
010033,01-OCT-14,30-SEP-15,Amended,1137940866,3550421089,2217025437
010034,01-OCT-14,30-SEP-15,As Submitted,17171068,14427636,25184054
010035,01-JUL-15,30-JUN-16,As Submitted,97312470,201889103,255170493
010036,01-APR-15,31-MAR-16,As Submitted,28835755,79182601,117068216
010038,01-JUL-15,30-JUN-16,As Submitted,44512694,144909514,315644141
010039,01-JUL-15,30-JUN-16,As Submitted,749428761,2357693189,2200877402
010040,01-OCT-14,30-SEP-15,As Submitted,155211887,1219781696,819827391
010044,01-OCT-14,30-SEP-15,As Submitted,17595505,17861796,39921750
010045,01-OCT-14,30-SEP-15,As Submitted,24867599,29126507,50667181
010046,01-MAR-15,31-DEC-15,As Submitted,71229251,445925929,393299541
010047,01-JAN-15,31-DEC-15,As Submitted,6886638,2959903,8597730
010049,01-JAN-15,31-DEC-15,As Submitted,40148260,126004574,319098303
010051,01-OCT-14,30-SEP-15,As Submitted,11946775,6321992,7101642
010052,01-JAN-15,31-DEC-15,As Submitted,13988486,3352775,16638633
010055,01-OCT-14,30-SEP-15,As Submitted,160976846,594490346,738305517
010056,01-JUL-15,30-JUN-16,As Submitted,357911209,787768498,1010279664
010058,01-OCT-14,30-SEP-15,As Submitted,16109121,14690584,12817181
010059,01-OCT-14,30-SEP-15,As Submitted,13843297,8416347,31537383
010061,01-OCT-14,30-SEP-15,As Submitted,49964542,51063354,75315094
010062,01-OCT-14,30-SEP-15,As Submitted,18443762,20543721,21742942
010065,01-JAN-15,31-DEC-15,As Submitted,58239296,43610449,146145801
010069,01-OCT-14,30-SEP-15,As Submitted,15640361,21676521,39783584
010073,01-OCT-14,30-SEP-15,As Submitted,15853995,13564468,13813776
010078,01-JUL-15,30-JUN-16,As Submitted,153670488,565259156,639085148
010079,01-JUL-15,31-DEC-15,As Submitted,25535355,38906658,80486030
010083,01-OCT-14,30-SEP-15,As Submitted,75861171,333769925,487686278
010085,01-APR-15,31-MAR-16,Amended,107803457,193932189,242860409
010086,01-JAN-15,31-DEC-15,As Submitted,17909079,45787220,72990255
010087,01-OCT-14,30-SEP-15,Amended,128502868,198989612,146892176
010089,01-JAN-15,02-OCT-15,As Submitted,71207853,146562831,168571559
010090,01-JUL-15,30-JUN-16,As Submitted,201337976,429640242,406312015
010091,01-JUL-15,30-JUN-16,As Submitted,13171848,12642639,30776454
010092,01-OCT-14,30-SEP-15,Amended,410780553,1023757136,844355229
010095,01-OCT-14,30-SEP-15,As Submitted,8117618,3202629,12064605
010097,01-JAN-15,31-DEC-15,As Submitted,12332840,6756774,26086565
010099,01-OCT-14,30-SEP-15,As Submitted,24528112,18524209,57088359
010100,01-APR-15,31-MAR-16,As Submitted,121137304,206962053,295875750
010101,01-JAN-15,02-OCT-15,As Submitted,28407520,36526100,76237234
010102,01-OCT-14,30-SEP-15,As Submitted,4125588,915208,7136137
010103,01-JAN-15,02-OCT-15,As Submitted,163904956,656394807,377627087
010104,01-JUL-15,30-JUN-16,As Submitted,232252886,1252407106,1081031511
010108,01-JUL-15,30-JUN-16,As Submitted,40253903,77726794,137506861
010109,01-OCT-14,30-SEP-15,As Submitted,12751811,6748967,23426285
010110,01-JAN-15,31-DEC-15,As Submitted,10224925,23074194,17505225
010112,01-OCT-14,30-SEP-15,As Submitted,21263684,23332112,35720983
010113,01-APR-15,31-MAR-16,As Submitted,313875835,743336100,377405354
010114,01-JAN-15,31-DEC-15,As Submitted,87522490,251851879,281213732
010118,01-JUL-15,30-JUN-16,As Submitted,49319503,183451588,302256204
010120,01-OCT-14,30-SEP-15,As Submitted,21440187,13159792,73110055
010125,01-JAN-15,31-DEC-15,As Submitted,13586197,34899265,28902407
010126,01-JAN-15,31-DEC-15,As Submitted,24063798,58104481,88557130
010129,01-APR-15,31-MAR-16,As Submitted,23361658,24276467,40048452
010130,01-JUL-15,30-JUN-16,As Submitted,28473068,40753854,152140412
010131,01-JUL-15,30-JUN-16,As Submitted,166122119,910440737,987953277
010138,01-JAN-15,31-DEC-15,As Submitted,3248352,3898969,4172985
010139,01-JAN-15,31-DEC-15,As Submitted,327456270,2077967295,1358079965
010144,01-JAN-15,31-DEC-15,As Submitted,147931248,283424768,275158625
010148,01-JAN-15,31-DEC-15,As Submitted,11673518,14531618,22426909
010149,01-JUL-15,30-JUN-16,As Submitted,111733253,278799885,241082782
010150,01-FEB-15,31-JAN-16,As Submitted,19088523,55918499,91407209
010157,01-APR-15,31-MAR-16,As Submitted,33757379,79248749,84212754
010164,01-AUG-15,31-JUL-16,As Submitted,57054606,113903272,197800701
010168,01-JAN-15,31-DEC-15,As Submitted,41312941,98634178,50931423
010169,01-OCT-14,30-SEP-15,As Submitted,16458208,24695112,60835683
010172,26-SEP-15,30-APR-16,As Submitted,1615145,1372213,
011300,01-OCT-14,30-SEP-15,As Submitted,10953745,9097522,6749516
011302,01-OCT-14,31-DEC-14,As Submitted,,1647291,4270433
011302,01-JAN-15,30-SEP-15,As Submitted,,5501389,14012422
011304,01-JAN-15,31-DEC-15,As Submitted,,5426333,21509457
011305,01-JUL-15,30-JUN-16,As Submitted,,19242939,63064390
012006,01-APR-15,31-MAR-16,As Submitted,11837273,19158235,16921
012007,01-APR-15,31-AUG-15,As Submitted,3905004,9854437,
012007,01-SEP-15,31-AUG-16,As Submitted,9123832,22824150,
012008,01-SEP-15,31-AUG-16,As Submitted,15936584,65616201,
012009,01-APR-15,31-AUG-15,As Submitted,4543905,15303750,
012009,01-SEP-15,31-AUG-16,As Submitted,10244041,33089254,
012010,01-OCT-14,31-DEC-14,Settled,2435014,7143971,
012010,01-JAN-15,31-AUG-15,As Submitted,6921419,22398692,
012010,01-SEP-15,31-AUG-16,As Submitted,10563347,34731861,
012011,01-FEB-15,31-AUG-15,As Submitted,4777658,17282588,
012011,01-SEP-15,31-AUG-16,As Submitted,8438054,27609410,
012012,01-FEB-15,31-AUG-15,As Submitted,5441408,20359015,
012012,01-SEP-15,31-AUG-16,As Submitted,8962402,32927409,
012013,01-FEB-15,31-AUG-15,As Submitted,2582308,11184323,
012013,01-SEP-15,31-AUG-16,As Submitted,4686397,20855777,
013025,01-JAN-15,31-DEC-15,Amended,32109084,66403704,1807594
013028,01-JAN-15,31-DEC-15,Amended,19684880,42267413,1101875
013029,01-JUN-15,31-MAY-16,As Submitted,19845422,58717886,255252
013030,01-JAN-15,31-DEC-15,Amended,16019055,30884952,228664
013032,01-JAN-15,31-DEC-15,As Submitted,12358044,26530611,135940
013033,01-JUN-15,31-MAY-16,As Submitted,15549612,31780419,838670
013300,01-JAN-15,31-DEC-15,As Submitted,,1042318505,475876167
013301,01-OCT-14,30-SEP-15,As Submitted,,177749570,46955471
014000,01-JUL-15,30-JUN-16,As Submitted,19440694,53221700,
014006,01-JAN-15,31-DEC-15,As Submitted,6446737,12224369,647232
014007,01-JUL-15,30-JUN-16,As Submitted,20147006,23908063,
014009,01-OCT-14,30-JUN-15,Settled,7222526,8914318,
014012,01-OCT-14,30-SEP-15,As Submitted,20796535,18020871,28295
014014,01-OCT-14,30-SEP-15,As Submitted,7728846,6751800,
014016,01-JUL-15,30-JUN-16,As Submitted,4704210,10904099,
014017,01-OCT-14,30-SEP-15,As Submitted,11460086,5017044,
014018,01-JAN-15,31-DEC-15,As Submitted,2675872,2976460,
020001,01-JAN-15,31-DEC-15,As Submitted,482411184,1317865958,653484298
020006,01-JAN-15,31-DEC-15,As Submitted,98661261,229186753,252881275
020008,01-JUL-15,30-JUN-16,As Submitted,72982600,54124148,71279625
020012,01-JAN-15,31-DEC-15,As Submitted,219193462,180785063,252204048
020017,01-JAN-15,31-DEC-15,As Submitted,168522431,528133217,218337393
020018,01-OCT-14,30-SEP-15,As Submitted,64420113,99320,752343
020024,01-JUL-15,30-JUN-16,As Submitted,114120580,124543518,158786681
020026,01-OCT-14,30-SEP-15,As Submitted,295465211,654056,3647520
020027,01-OCT-14,30-SEP-15,Settled,58224149,10234463,37403669
021301,01-JAN-15,31-DEC-15,As Submitted,14880071,7182972,7945439
021302,01-JAN-15,31-DEC-15,Settled,20709752,15874941,8974721
021303,01-JUL-15,30-JUN-16,As Submitted,24353127,7970044,13380574
021304,01-JUL-15,30-JUN-16,As Submitted,14277991,6683557,7064315
021305,01-JUL-15,30-JUN-16,As Submitted,10525513,5889252,5549529
021306,01-JAN-15,31-DEC-15,As Submitted,35232003,26667209,40618739
