PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
010006,01-JUL-10,30-JUN-11,Reopened,123689122,340761583,262864357
010011,01-JUL-10,30-JUN-11,Reopened,163631259,338343919,217867514
010023,01-JUL-10,30-JUN-11,Settled,223867302,629932111,332678561
010025,01-JUL-10,30-JUN-11,Settled,36535362,34057912,49966580
010027,01-JUL-10,30-JUN-11,Reopened,10066118,7442664,6574459
010035,01-JUL-10,30-JUN-11,Settled,93400996,178799092,174908232
010038,01-JUL-10,30-JUN-11,Settled,48852797,186516615,223734770
010039,01-JUL-10,30-JUN-11,Settled w/Audit,583408727,1716379760,1395630799
010043,01-JUL-10,30-JUN-11,Settled,11438875,7218603,30744262
010046,01-JUL-10,30-JUN-11,Reopened,88927064,457009221,253640840
010050,01-JUL-10,30-JUN-11,Settled,14968033,18426998,33301119
010054,01-JUL-10,30-JUN-11,Settled,30876374,137797273,149143242
010055,01-JUL-10,30-JUN-11,As Submitted,147687352,486005318,572607008
010056,01-JUL-10,30-JUN-11,Reopened,296982234,500879042,467896211
010066,01-JUL-10,30-JUN-11,Settled,2811330,2686529,2611635
010078,01-JUL-10,30-JUN-11,Settled,122961977,354916995,285624668
010079,01-JUL-10,30-JUN-11,Settled,42740509,58631176,93411372
010085,01-JUL-10,30-JUN-11,Settled,79303245,87727992,127947626
010086,01-MAY-10,30-APR-11,Amended,24897137,48647913,60789350
010090,01-JUL-10,30-JUN-11,Settled,194307989,398928543,308708612
010091,01-JUL-10,30-JUN-11,Settled,10015889,12422199,16635587
010104,01-JUL-10,30-JUN-11,As Submitted,200234161,877387579,625801575
010108,01-JUL-10,30-JUN-11,Settled,25919460,44299501,97020520
010118,01-JUL-10,30-JUN-11,As Submitted,57870995,180080294,138533530
010125,01-MAY-10,30-APR-11,As Submitted,14441719,18910731,22120972
010130,01-JUL-10,30-JUN-11,As Submitted,15785530,19495223,40481486
010131,01-JUL-10,30-JUN-11,As Submitted,131184924,441558406,569848227
010149,01-JUL-10,30-JUN-11,Settled,86828973,250245346,184277003
010164,01-AUG-10,31-JUL-11,Settled,44065596,95571218,117259584
012007,01-JUL-10,30-JUN-11,Settled,11020446,29910070,
012008,01-SEP-10,31-AUG-11,Reopened,11045335,33404705,
012009,01-JUL-10,30-JUN-11,Settled,9714063,28423990,6235
013029,01-JUN-10,31-MAY-11,Reopened,17385529,42783558,299375
013033,01-JUN-10,31-MAY-11,Settled,11986217,22987465,897416
014000,01-JUL-10,30-JUN-11,Settled,18105733,90842732,11710399
014007,01-JUL-10,30-JUN-11,Settled,23997020,155358,
014016,21-SEP-10,30-JUN-11,Settled,1813353,4042252,
020008,01-JUL-10,30-JUN-11,Reopened,62937311,42047031,57892132
020024,01-JUL-10,30-JUN-11,Settled w/Audit,83421257,63400982,83825023
021303,01-JUL-10,30-JUN-11,Settled,17124402,7554637,8362859
021304,01-JUL-10,30-JUN-11,Settled,9492101,4346614,5344811
021305,01-JUL-10,30-JUN-11,Settled,8553504,5774675,4483422
021307,01-JUL-10,30-JUN-11,Settled,6208728,4058027,1992061
021311,01-JUL-10,30-JUN-11,Reopened,42887378,34235996,38540870
021313,01-JUL-10,30-JUN-11,Settled,35516354,18058372,24216271
024002,01-JUL-10,30-JUN-11,Settled,31026940,29386192,
030007,01-JUL-10,30-JUN-11,Reopened,108589747,208671588,227035890
030010,01-JUL-10,30-JUN-11,Settled,205269247,534392618,309451105
030011,01-JUL-10,30-JUN-11,Settled,250659649,726719556,395224844
030016,01-JUL-10,30-JUN-11,Settled,98544278,205059274,186545203
030022,01-JUL-10,30-JUN-11,Settled w/Audit,342943491,945695555,681830285
030023,01-JUL-10,30-JUN-11,Settled,282666133,586563600,263052120
030024,01-JUL-10,30-JUN-11,Reopened,601041676,2121209860,799435772
030033,01-AUG-10,31-JUL-11,Settled,34053111,116195732,146993821
030036,01-JUL-10,30-JUN-11,Settled,264613676,891904882,716140033
030037,01-JUN-10,31-MAY-11,Settled,129313632,488468430,279951802
030043,01-JUL-10,30-JUN-11,Settled,82888841,118019385,156972515
030055,01-JUL-10,30-JUN-11,Reopened,140630617,269139718,268529556
030064,01-JUL-10,30-JUN-11,Settled w/Audit,508557115,1248841654,832005373
030069,01-SEP-10,31-AUG-11,Settled,111756689,261787984,233171996
030101,01-SEP-10,31-AUG-11,Settled,81663995,481859571,257905702
030108,01-JUN-10,31-MAY-11,Settled,22302031,51017225,23411373
030110,01-MAY-10,30-APR-11,Reopened,98181217,330917863,182383007
030111,01-JUL-10,30-JUN-11,Settled,111687203,120006118,133689295
030119,01-JUL-10,30-JUN-11,Settled,200733978,663046588,527881428
030121,01-JUL-10,30-JUN-11,Settled,147183487,578337965,276306220
031301,01-JUL-10,30-JUN-11,Settled,,3230515,15413514
031302,01-JUL-10,30-JUN-11,Settled,,7990518,24559495
031312,01-JUL-10,30-JUN-11,Settled,,3941400,43208038
031313,01-JUL-10,30-JUN-11,Settled,24069344,21818074,53583696
032000,01-SEP-10,31-AUG-11,Settled,48643529,135031594,2897183
032002,01-SEP-10,31-AUG-11,Reopened,14444780,32942856,166013
032005,01-JUN-10,31-MAY-11,Settled,20341248,55870546,
032006,01-JUN-10,31-MAY-11,Settled,14232269,43447349,
033032,01-JUN-10,31-MAY-11,Settled,19026080,34585453,3132535
033037,01-JUN-10,31-MAY-11,Settled,11991494,22892791,1171082
034013,01-JUN-10,31-MAY-11,Settled,32374937,108494575,11773496
034020,01-JUL-10,30-JUN-11,Settled,6474745,14299820,51646
034021,01-JUL-10,30-JUN-11,Settled,54836173,53440304,
034023,01-JUL-10,30-JUN-11,Settled,14022273,3460606,11391940
034025,01-JUL-10,30-JUN-11,Settled,28977659,4897659,24483658
040007,01-JUL-10,30-JUN-11,Reopened,244193516,633233181,273495504
040010,01-JUL-10,30-JUN-11,Settled,134738565,201149330,226657065
040011,01-JUL-10,30-JUN-11,Settled,13793675,11039443,16373372
