PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
010001,01-OCT-12,30-SEP-13,As Submitted,216743214,624124140,595399407
010005,01-OCT-12,30-SEP-13,Settled,106850146,122438721,255612004
010006,01-JUL-13,30-JUN-14,Settled,115272984,407953414,318197879
010007,01-OCT-12,30-SEP-13,As Submitted,13655523,16145864,22636441
010008,01-JAN-13,31-DEC-13,As Submitted,10858715,16829928,15310766
010011,01-JUL-13,30-JUN-14,Amended,186388786,539703556,416641667
010012,01-APR-13,31-MAR-14,Settled,40738141,118933751,175735959
010016,01-JAN-13,31-DEC-13,Settled,138218791,493859190,344448507
010018,01-OCT-12,31-DEC-12,Settled,5770388,348256,21596678
010018,01-JAN-13,30-SEP-13,Settled,19910034,831033,74924157
010019,01-OCT-12,30-SEP-13,Settled,79015811,141615719,219468439
010021,01-OCT-12,30-SEP-13,Settled,26317439,29233864,59743721
010022,01-APR-13,31-MAR-14,Reopened,11495937,16771437,48145852
010023,01-JUL-13,30-JUN-14,As Submitted,323073151,629563552,602497810
010024,01-JAN-13,31-DEC-13,Settled,141662423,422127734,282976388
010025,01-JUL-13,31-JAN-14,Settled,21326462,16909462,26058498
010029,01-OCT-12,30-SEP-13,Settled,210010907,215616721,299694182
010032,01-OCT-12,30-SEP-13,Settled,7266331,7438815,10813896
010033,01-OCT-12,30-SEP-13,As Submitted,1022991993,3165413067,1414619604
010034,01-OCT-12,30-SEP-13,Settled,17640759,15638169,23632819
010035,01-JUL-13,30-JUN-14,Settled,91382103,157473487,207888220
010036,01-APR-13,31-MAR-14,Settled,28410023,51763305,82482534
010038,01-JUL-13,30-JUN-14,Settled,50297181,135030812,300944580
010039,01-JUL-13,30-JUN-14,As Submitted,652615435,2037571679,1948091923
010040,01-OCT-12,30-SEP-13,Settled,152801517,973950282,820604827
010044,01-OCT-12,30-SEP-13,Settled,19707679,21289513,31675195
010045,01-OCT-12,30-SEP-13,Settled,23963446,31752578,47499520
010046,01-JUL-13,30-JUN-14,Settled,87916936,502560221,408620693
010047,01-DEC-12,31-DEC-13,Reopened,7256982,3672324,9415521
010049,01-JAN-13,31-DEC-13,Settled,39810581,112805770,240685711
010051,01-OCT-12,30-SEP-13,Settled,8630855,6149752,8043696
010052,01-JAN-13,31-DEC-13,Settled,14802006,3422264,17124627
