PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
012006,01-APR-14,31-MAR-15,Settled,12463136,22719315,67923
012007,01-JUL-14,31-MAR-15,As Submitted,6878354,18089596,
012008,01-SEP-14,31-AUG-15,As Submitted,13971798,52385370,
012009,01-JUL-14,31-MAR-15,As Submitted,7400368,21829041,
012010,01-OCT-13,30-SEP-14,Settled,10432306,32660566,
012011,01-FEB-14,31-JAN-15,Settled,8955238,31761588,5089
012012,01-APR-14,31-JAN-15,Settled,7968987,28346423,
012013,01-FEB-14,31-JAN-15,Settled,4531716,18078125,
013025,01-JAN-14,31-DEC-14,Settled,30757597,62149291,1994090
013027,01-JAN-14,30-DEC-14,Settled,13909986,15816308,
013028,01-JAN-14,31-DEC-14,Settled,19958588,44252950,1070667
013029,01-JUN-14,31-MAY-15,Amended,18493756,52208992,281660
013030,01-JAN-14,31-DEC-14,Settled,14971248,27819369,203565
013032,01-JAN-14,31-DEC-14,Settled,11963743,24670651,257419
013033,01-JUN-14,31-MAY-15,Amended,15680782,29716216,879273
013300,01-JAN-14,31-DEC-14,As Submitted,,974724534,450680977
013301,01-OCT-13,30-SEP-14,As Submitted,,164052435,40422235
014000,01-JUL-14,30-JUN-15,Settled,19034914,44335741,33627
014006,01-JAN-14,31-DEC-14,As Submitted,6978295,13365281,551290
014007,01-JUL-14,30-JUN-15,Settled,20746488,24267891,
014009,01-OCT-13,30-SEP-14,Settled,12383017,12767905,
014012,01-OCT-13,30-SEP-14,Settled,20161577,17021600,63467
014014,01-OCT-13,30-SEP-14,Settled,8085389,6139972,
014016,01-JUL-14,30-JUN-15,Settled,4158681,8936115,
014017,01-OCT-13,30-SEP-14,Settled,12105096,7037033,
014018,01-JAN-14,31-DEC-14,Settled,3047133,4899188,
020001,01-JAN-14,31-DEC-14,As Submitted,472509345,1239972311,594872484
020006,01-JAN-14,31-DEC-14,Settled,86498909,198526127,207347096
020008,01-JUL-14,30-JUN-15,As Submitted,59681254,55954079,62478148
020012,01-JAN-14,31-DEC-14,Settled,213199227,172605429,236192726
020017,01-JAN-14,31-DEC-14,As Submitted,150681521,442072853,215390912
020018,01-OCT-13,30-SEP-14,Settled,72651573,112160,738397
020024,01-JUL-14,30-JUN-15,As Submitted,107956870,109146941,140398147
020026,01-OCT-13,30-SEP-14,As Submitted,280195654,664981,3318383
020027,01-OCT-13,30-SEP-14,Settled,58876534,8198486,36644406
021301,01-JAN-14,31-DEC-14,Settled,13819848,8004519,7281146
021302,01-JAN-14,31-DEC-14,Settled,19904683,16281874,7566776
021303,01-JUL-14,30-JUN-15,Settled,25755091,8340810,12338162
021304,01-JUL-14,30-JUN-15,Settled,13534707,6559421,6505599
021305,01-JUL-14,30-JUN-15,Settled,9826000,5676709,5208037
021306,01-JAN-14,31-DEC-14,Settled,32282081,24249227,37680117
021307,01-JAN-14,31-DEC-14,Settled,8502861,5118605,2664086
021308,01-OCT-13,30-SEP-14,Settled,56986894,19802864,48720799
021309,01-OCT-13,30-SEP-14,Settled,,12452,125210
021310,01-OCT-13,30-SEP-14,Settled,,14790,159174
021311,01-JUL-14,30-JUN-15,As Submitted,57606203,36437182,57330586
021312,01-OCT-13,30-SEP-14,Settled,,6552,77210
021313,01-JUL-14,30-JUN-15,As Submitted,50073693,26029456,42583636
022001,01-JAN-14,31-DEC-14,Settled,36858438,71389786,
024001,01-JAN-14,31-DEC-14,Settled,20685745,80658840,
024002,01-JUL-14,30-JUN-15,Settled,32843505,31235477,
030001,01-JAN-14,31-DEC-14,Settled,54800185,143259971,142256831
030002,01-JAN-14,31-DEC-14,As Submitted,553005969,1881028334,763365452
030006,01-JAN-14,31-DEC-14,Settled,420265613,1043553497,557251656
030007,01-JUL-14,30-JUN-15,As Submitted,117577878,268741557,262560801
030010,01-JUL-14,30-JUN-15,Amended,208857076,520338731,412962133
030011,01-JUL-14,30-JUN-15,As Submitted,248887608,693096829,417053207
030012,01-JAN-14,31-DEC-14,Settled,130366203,276805327,276132147
030013,01-OCT-13,30-SEP-14,Settled w/Audit,306062328,620069214,584134447
030014,01-JAN-14,31-DEC-14,Settled,277002517,966036091,430780762
030016,09-JUN-14,31-DEC-14,Settled,68127042,107820740,141727166
030022,01-JUL-14,30-JUN-15,Amended,403673223,1032233253,813965202
030023,01-JUL-14,30-JUN-15,As Submitted,330630669,645386684,336201385
030024,01-JUL-14,30-JUN-15,Amended,654240718,2062130270,1166986864
030030,01-APR-14,31-MAR-15,Settled,188348821,480806333,367983451
030033,01-AUG-14,31-JUL-15,Settled,41907239,94353155,226516191
030036,01-JUL-14,30-JUN-15,Amended,398542384,1451219627,1005148953
030037,01-JUN-14,31-MAY-15,As Submitted,139240564,467020288,408479473
030038,01-OCT-13,31-DEC-13,Settled,79223868,242949507,159371098
030038,01-JAN-14,31-DEC-14,Settled,326345364,943935911,638685100
030043,01-MAY-14,30-APR-15,Settled,81161518,126820887,215126684
030055,01-JUL-14,30-JUN-15,As Submitted,176046030,468927135,503183775
030061,01-JAN-14,31-DEC-14,Settled,263416575,815562664,533188825
030062,01-JAN-14,31-DEC-14,Settled,103848537,105441873,284352281
030064,01-JUL-14,27-FEB-15,Amended,412634840,992171800,895517742
030065,01-JAN-14,31-DEC-14,As Submitted,524929589,1391435741,914062374
030068,01-JAN-14,31-DEC-14,Settled,52238780,32866686,94701243
030069,01-SEP-14,31-AUG-15,As Submitted,130166635,397766153,443539527
030071,01-OCT-13,30-SEP-14,Settled,60679612,213883,1279080
030073,01-OCT-13,30-SEP-14,Settled,78055856,203072,1763586
030074,01-OCT-13,30-SEP-14,As Submitted,27724236,18205,308510
030077,01-OCT-13,30-SEP-14,Settled,15405792,800,198873
