PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
010001,01-OCT-10,30-SEP-11,Amended,214651883,583386511,544856131
010005,01-OCT-10,30-SEP-11,As Submitted,58805922,68628127,139131513
010006,01-JUL-11,30-JUN-12,Reopened,110060408,335649588,257625180
010007,01-OCT-10,30-SEP-11,As Submitted,14026786,21453957,22334900
010008,01-JAN-11,31-DEC-11,As Submitted,11750479,15480467,19493479
010009,01-FEB-11,31-JAN-12,Reopened,14421539,47301035,46397029
010010,01-OCT-10,30-SEP-11,As Submitted,43474010,56383726,93934700
010011,01-JUL-11,30-JUN-12,Settled,169389947,447575884,305161238
010012,01-APR-11,31-MAR-12,Settled,41877227,115311762,162556553
010015,01-APR-11,15-AUG-11,Settled,2147811,1002377,4277061
010016,01-JAN-11,31-DEC-11,Reopened,129904611,487215554,341560978
010018,01-OCT-10,30-SEP-11,Settled,19786500,1562392,71748775
010019,01-OCT-10,30-SEP-11,Amended,68772074,93536963,121449981
010021,01-OCT-10,30-SEP-11,Reopened,23771280,24968390,47140142
010022,01-APR-11,31-MAR-12,Settled,12020832,17978375,41927222
010023,01-JUL-11,30-JUN-12,Amended,251748642,649860012,372368637
010024,01-JAN-11,31-DEC-11,As Submitted,140361706,396661517,229845657
010025,01-JUL-11,30-JUN-12,Amended,38202301,34071220,53682412
010027,01-JUL-11,30-JUN-12,Settled,10165280,5216310,7401145
010029,01-OCT-10,30-SEP-11,Amended,203954984,215947094,257514234
010032,01-OCT-10,30-SEP-11,As Submitted,6993233,8432339,11556259
010033,01-OCT-10,30-SEP-11,As Submitted,906986189,2665742648,1088356247
010034,01-OCT-10,30-SEP-11,Settled,16668765,16084858,21874182
010035,01-JUL-11,30-JUN-12,As Submitted,91369341,169695889,173871708
010036,01-APR-11,31-MAR-12,As Submitted,26426685,58495495,67556971
010038,01-JUL-11,30-JUN-12,Settled,49577090,191319935,242628491
010039,01-JUL-11,30-JUN-12,Amended,626055739,1847471745,1638485096
010040,01-OCT-10,30-SEP-11,Reopened,133477950,841417808,632595018
010043,01-JUL-11,30-JUN-12,Reopened,9685788,6145752,29652636
010044,01-OCT-10,30-SEP-11,Settled,18076040,21594173,29038921
010045,01-OCT-10,30-SEP-11,As Submitted,22674332,31471391,44987233
010046,01-JUL-11,30-JUN-12,Reopened,86299819,476711179,290081473
010049,01-JAN-11,31-DEC-11,Settled,44338627,112108979,206581782
010050,01-JUL-11,30-JUN-12,Settled,16631865,24533114,57316183
010051,01-OCT-10,30-SEP-11,Settled,8677060,6591471,6167903
010052,01-JAN-11,31-DEC-11,As Submitted,12964476,4760018,15440659
010054,01-JUL-11,31-DEC-11,Settled,14978147,64326865,75688770
010055,01-JUL-11,30-JUN-12,As Submitted,155723173,535634476,633980361
010056,01-JUL-11,30-JUN-12,Settled,305746107,594785325,642434394
010058,01-OCT-10,30-SEP-11,Reopened,13226815,11444769,9344053
010059,01-OCT-10,30-SEP-11,Settled,15720279,20491952,26273372
010061,01-OCT-10,30-SEP-11,As Submitted,44782559,44619916,56251156
010062,01-OCT-10,30-SEP-11,As Submitted,19765941,19783925,15403744
010065,01-JAN-11,31-DEC-11,As Submitted,56294247,44812011,111816514
010066,01-JUL-11,30-JUN-12,Settled,2452134,1867877,1800289
010069,01-OCT-10,30-SEP-11,As Submitted,13976470,20631032,31711303
010073,01-OCT-10,30-SEP-11,Settled,14544965,14338410,12109266
010078,01-JUL-11,30-JUN-12,As Submitted,130574222,366574747,294479980
010079,01-JUL-11,30-JUN-12,Settled,47936508,68568988,117019050
010083,01-OCT-10,30-SEP-11,Settled,62641736,209114658,270692072
010085,01-JUL-11,30-JUN-12,As Submitted,78072297,92819654,136759385
010086,01-MAY-11,30-APR-12,As Submitted,23667989,40551271,65146012
010087,01-OCT-10,30-SEP-11,Settled w/Audit,108238472,149921496,95729207
010089,01-JAN-11,31-DEC-11,Reopened,75353595,194068881,174144932
010090,01-JUL-11,30-JUN-12,As Submitted,192988677,392903851,348135429
010091,01-JUL-11,30-JUN-12,As Submitted,11852118,14433751,27866599
010092,01-OCT-10,30-SEP-11,As Submitted,315618159,871483658,513059958
010095,01-OCT-10,30-SEP-11,As Submitted,7772598,4351046,10246279
010097,01-JAN-11,31-DEC-11,As Submitted,13999186,7513142,25602017
010099,01-OCT-10,30-SEP-11,As Submitted,24585107,21008693,47415963
010100,01-APR-11,31-MAR-12,Settled,118638836,204623061,253376768
010101,01-JAN-11,31-DEC-11,Reopened,31295289,58624103,96735132
010102,01-OCT-10,30-SEP-11,As Submitted,2590517,1115846,4541956
010103,01-JAN-11,31-DEC-11,Settled w/Audit,179095090,791157202,493702675
010104,01-JUL-11,30-JUN-12,Settled w/Audit,189920747,921074994,703725453
010108,01-JUL-11,30-JUN-12,Settled,25658629,42181468,103889229
010109,01-OCT-10,30-SEP-11,Settled,15728884,14937710,23833311
010110,01-JAN-11,31-DEC-11,As Submitted,9062022,20271134,7001769
010112,01-OCT-10,30-SEP-11,As Submitted,24378746,33153874,22837371
010113,01-APR-11,31-MAR-12,Settled,285260452,735173571,320759940
010114,01-JAN-11,31-DEC-11,As Submitted,77495075,238151277,165836762
010118,01-JUL-11,30-JUN-12,Settled,52951361,185854788,135470591
010120,01-OCT-10,30-SEP-11,Reopened,19695869,16598335,54683877
010125,01-MAY-11,30-APR-12,As Submitted,14849954,22725272,23090233
010126,01-JAN-11,31-DEC-11,Reopened,24088217,29769312,72539618
010128,01-JAN-11,31-DEC-11,Settled,9146541,4513510,18627444
010129,01-APR-11,31-MAR-12,As Submitted,20383998,18350994,34475985
010130,01-JUL-11,30-JUN-12,Reopened,19029362,28453609,76173028
010131,01-JUL-11,30-JUN-12,Amended,135773356,457848674,651933052
010137,01-OCT-10,30-SEP-11,As Submitted,84327387,41004520,84501276
010138,01-JAN-11,31-DEC-11,As Submitted,3105797,2320106,2503611
010139,01-JAN-11,31-DEC-11,Settled,299144760,1754098942,1046740934
010144,01-JAN-11,31-DEC-11,Reopened,125390313,192020387,240525818
010145,01-OCT-10,30-APR-11,As Submitted,44126263,124826142,65542164
010146,01-OCT-10,30-SEP-11,As Submitted,20055591,43932281,82080046
010148,01-JAN-11,31-DEC-11,As Submitted,11813809,13772538,14181054
010149,01-JUL-11,30-JUN-12,Settled,92175654,239201240,204801386
010150,01-FEB-11,31-JAN-12,Settled,18711674,54271036,65276479
010152,01-APR-11,31-MAR-12,Settled,25992242,44353012,56250735
010157,01-APR-11,31-MAR-12,Settled,31294740,70379131,55757939
010158,01-JAN-11,31-DEC-11,Settled,25315715,47087256,47255354
010164,01-AUG-11,31-JUL-12,As Submitted,45929563,100255088,118470246
010168,01-JAN-11,31-DEC-11,Settled,40116827,81025680,48782172
010169,01-OCT-10,30-SEP-11,As Submitted,15641096,26297388,48713934
011300,01-OCT-10,30-SEP-11,Reopened,10412545,7830481,6696163
011302,01-OCT-10,30-SEP-11,Settled,9572159,4825655,11228294
012006,01-APR-11,31-MAR-12,Settled,15235841,31836636,
